遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出,I项输出
0,-0.06,0.08,0.15,0.15,0.43,0,0.07,0,28.95,-0.05,0.12
0,-0.04,0.05,0.1,0.1,0.83,-0.23,-0.19,0,28.95,-0.08,0.12
0,-0.03,0.03,0.07,0.07,0.83,-0.32,-0.26,0,28.95,-0.07,0.12
0,-0.03,0.02,0.05,0.05,0.5,-0.26,-0.17,0,28.95,-0.02,0.12
0,-0.05,0.04,0.09,0.09,-0.08,-0.06,0.09,0,28.95,0.03,0.12
0,-0.08,0.06,0.12,0.12,-0.66,0.21,0.41,0,28.95,0.08,0.12
0,-0.09,0.08,0.17,0.17,-0.95,0.41,0.62,1,28.95,0.09,0.12
0,-0.1,0.1,0.21,0.21,-0.84,0.46,0.65,1,28.95,0.06,0.12
0,-0.11,0.1,0.2,0.2,-0.42,0.35,0.48,0,28.95,0.01,0.13
0,-0.08,0.1,0.19,0.19,0.16,0.13,0.21,0,28.95,-0.04,0.13
0,-0.06,0.08,0.15,0.15,0.71,-0.13,-0.08,0,28.95,-0.08,0.13
0,-0.04,0.05,0.09,0.09,0.96,-0.31,-0.27,0,29.1,-0.09,0.13
0,-0.03,0.03,0.07,0.07,0.76,-0.34,-0.27,0,29.4,-0.05,0.12
0,-0.03,0.03,0.06,0.06,0.25,-0.19,-0.07,0,29.4,0,0.12
0,-0.05,0.04,0.07,0.07,-0.36,0.06,0.24,0,29.4,0.06,0.12
0,-0.06,0.05,0.1,0.1,-0.8,0.28,0.49,0,29.4,0.09,0.12
0,-0.07,0.07,0.14,0.14,-0.93,0.42,0.63,1,29.4,0.08,0.13
0,-0.07,0.07,0.14,0.14,-0.66,0.4,0.57,1,29.4,0.04,0.13
0,-0.05,0.06,0.12,0.12,-0.08,0.2,0.31,0,29.55,-0.02,0.13
0,-0.04,0.05,0.09,0.09,0.54,-0.06,0,0,29.7,-0.07,0.13
0,-0.02,0.03,0.05,0.05,0.95,-0.29,-0.26,0,29.7,-0.09,0.13
0,-0.01,0.01,0.02,0.02,1,-0.41,-0.36,0,29.7,-0.08,0.13
0,-0.01,0.01,0.02,0.02,0.59,-0.33,-0.23,0,30,-0.03,0.12
0,-0.04,0.03,0.06,0.06,-0.11,-0.08,0.08,0,30.15,0.04,0.12
0,-0.07,0.05,0.1,0.1,-0.75,0.22,0.44,0,30.15,0.09,0.12
