遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出,I项输出
0,-1.13,1.17,2.92,2.92,1.82,0.89,2.43,4,57.9,0,1.53
0,-0.93,1.04,2.6,2.6,3.84,-0.09,1.45,2,57.9,0,1.54
0,-0.82,0.9,2.26,2.26,5.73,-1.06,0.46,0,57.9,0,1.52
0,-0.73,0.75,1.87,1.87,5.98,-1.69,-0.19,0,57.9,0,1.5
0,-0.72,0.72,1.8,1.8,3.92,-1.35,0.12,0,57.9,0,1.48
0,-0.73,0.7,1.76,1.76,1.47,-0.35,1.11,2,57.9,0,1.47
0,-0.83,0.78,1.94,1.94,-1.13,0.67,2.14,4,57.9,0,1.47
0,-0.95,0.87,2.19,2.19,-4.06,1.94,3.44,6,57.9,0,1.5
0,-1.12,1.02,2.54,2.54,-6.32,3.14,4.68,9,57.9,0,1.54
0,-1.29,1.21,3.01,3.01,-7.57,4.04,5.63,11,57.9,0,1.6
0,-1.4,1.35,3.37,3.37,-7.62,4.44,6.11,12,57.75,0,1.66
0,-1.48,1.44,3.6,3.6,-6.47,4.32,6.05,12,57.75,0,1.73
0,-1.52,1.51,3.78,3.78,-4.57,3.75,5.54,11,57.9,0,1.79
0,-1.51,1.54,3.84,3.84,-2.02,2.88,4.72,9,57.9,0,1.84
0,-1.44,1.48,3.7,3.7,1.28,1.66,3.52,7,57.9,0,1.87
0,-1.3,1.34,3.35,3.35,4.31,0.19,2.06,4,57.9,0,1.87
0,-1.15,1.25,3.13,3.13,6.11,-0.92,0.94,1,57.9,0,1.86
0,-0.99,1.07,2.68,2.68,6.72,-1.53,0.31,0,57.9,0,1.84
0,-0.87,0.94,2.34,2.34,6.42,-1.74,0.08,0,57.75,0,1.82
0,-0.81,0.83,2.07,2.07,4.93,-1.52,0.27,0,57.9,0,1.79
0,-0.82,0.8,2,2,2.14,-0.65,1.13,2,57.9,0,1.78
0,-0.92,0.86,2.15,2.15,-0.91,0.62,2.4,4,57.9,0,1.78
0,-1.05,0.97,2.44,2.44,-3.71,1.92,3.73,7,57.9,0,1.81
0,-1.19,1.13,2.82,2.82,-6.17,3.12,4.97,9,57.9,0,1.85
0,-1.34,1.26,3.14,3.14,-7.16,4.03,5.94,11,57.9,0,1.91
0,-1.5,1.42,3.56,3.56,-7.04,4.28,6.25,12,57.9,0,1.97
0,-1.58,1.52,3.81,3.81,-6.08,4.23,6.26,12,57.9,0,2.03
0,-1.59,1.6,4,4,-4.23,3.68,5.77,11,57.9,0,2.09
0,-1.57,1.59,3.97,3.97,-1.54,2.79,4.93,9,57.9,0,2.14
0,-1.42,1.51,3.76,3.76,1.54,1.5,3.67,7,57.9,0,2.17
0,-1.33,1.37,3.43,3.43,4.03,0.2,2.37,4,57.9,0,2.17
0,-1.13,1.22,3.06,3.06,5.48,-0.71,1.45,2,57.9,0,2.17
0,-0.99,1.04,2.61,2.61,6.44,-1.35,0.79,1,57.9,0,2.15
0,-0.89,0.94,2.36,2.36,6.71,-1.76,0.36,0,57.9,0,2.12
0,-0.85,0.85,2.12,2.12,5.1,-1.61,0.49,0,57.9,0,2.1
0,-0.83,0.83,2.08,2.08,2.09,-0.64,1.44,2,57.9,0,2.08
0,-0.89,0.86,2.15,2.15,-0.62,0.6,2.68,5,57.9,0,2.09
0,-1.05,0.97,2.43,2.43,-3.48,1.76,3.87,7,57.9,0,2.11
0,-1.19,1.11,2.78,2.78,-5.92,3.07,5.22,10,57.9,0,2.15
0,-1.34,1.26,3.16,3.16,-7.05,3.9,6.11,12,57.9,0,2.21
0,-1.45,1.4,3.49,3.49,-7.2,4.31,6.58,13,57.9,0,2.27
0,-1.54,1.48,3.7,3.7,-6.03,4.21,6.54,13,57.9,0,2.33
0,-1.56,1.57,3.91,3.91,-3.59,3.52,5.91,11,57.9,0,2.39
0,-1.6,1.61,4.02,4.02,-1.19,2.52,4.96,9,57.9,0,2.43
0,-1.53,1.57,3.92,3.92,1.13,1.61,4.07,8,57.9,0,2.46
0,-1.42,1.46,3.64,3.64,4.4,0.4,2.87,5,57.9,0,2.47
0,-1.3,1.37,3.43,3.43,7.52,-1.09,1.37,2,57.9,0,2.46
0,-1.2,1.22,3.04,3.04,8.37,-2.09,0.34,0,57.9,0,2.43
0,-1.11,1.15,2.88,2.88,7,-1.98,0.42,0,57.9,0,2.4
0,-1.03,1.07,2.67,2.67,5.47,-1.4,0.97,1,57.9,0,2.38
0,-1,1.02,2.54,2.54,4.07,-0.92,1.44,2,57.9,0,2.36
0,-1.02,1.01,2.53,2.53,1.56,-0.18,2.18,4,57.9,0,2.36
0,-1.08,1.04,2.61,2.61,-1.38,1.03,3.4,6,57.9,0,2.37
0,-1.23,1.18,2.94,2.94,-3.87,2.22,4.61,9,57.9,0,2.4
0,-1.35,1.31,3.27,3.27,-5.79,3.33,5.77,11,57.9,0,2.44
0,-1.46,1.42,3.56,3.56,-5.99,3.84,6.34,12,57.9,0,2.5
0,-1.47,1.48,3.69,3.69,-5.27,3.79,6.34,12,57.9,0,2.55
0,-1.48,1.49,3.73,3.73,-3.24,3.24,5.84,11,57.75,0,2.61
0,-1.43,1.44,3.6,3.6,-0.32,2.21,4.85,9,57.9,0,2.64
0,-1.27,1.35,3.38,3.38,2.67,0.85,3.51,7,57.9,0,2.66
0,-1.16,1.23,3.09,3.09,5.06,-0.36,2.3,4,57.9,0,2.66
0,-0.97,1.05,2.63,2.63,6.77,-1.33,1.32,2,57.9,0,2.64
0,-0.82,0.89,2.23,2.23,7.61,-2.05,0.57,1,57.9,0,2.62
0,-0.7,0.77,1.93,1.93,7.18,-2.26,0.32,0,57.9,0,2.58
0,-0.64,0.67,1.67,1.67,5.82,-1.94,0.61,1,57.9,0,2.55
0,-0.61,0.61,1.53,1.53,4.13,-1.41,1.12,2,57.9,0,2.53
0,-0.63,0.63,1.56,1.56,1.59,-0.57,1.95,3,57.9,0,2.52
0,-0.71,0.67,1.69,1.69,-1.47,0.64,3.16,6,57.9,0,2.52
0,-0.82,0.75,1.87,1.87,-4.06,1.92,4.46,8,57.9,0,2.54
0,-0.96,0.89,2.23,2.23,-5.65,2.88,5.46,10,57.9,0,2.58
0,-1.05,1.03,2.57,2.57,-6.22,3.47,6.11,12,57.9,0,2.63
0,-1.13,1.1,2.75,2.75,-5.48,3.48,6.17,12,57.9,0,2.69
0,-1.15,1.13,2.82,2.82,-3.77,3.05,5.78,11,57.9,0,2.73
0,-1.13,1.15,2.87,2.87,-0.84,2.11,4.88,9,57.9,0,2.77
0,-1.05,1.09,2.73,2.73,2.06,0.79,3.58,7,57.9,0,2.79
0,-0.94,1.01,2.51,2.51,3.96,-0.23,2.56,5,57.9,0,2.79
0,-0.77,0.85,2.14,2.14,5.67,-1.05,1.73,3,57.9,0,2.77
0,-0.62,0.71,1.77,1.77,7.6,-1.97,0.78,1,57.9,0,2.75
0,-0.5,0.56,1.4,1.4,8.19,-2.7,0.01,0,57.9,0,2.71
0,-0.4,0.46,1.14,1.14,6.7,-2.59,0.08,0,57.9,0,2.67
0,-0.3,0.34,0.84,0.84,4.68,-1.94,0.7,1,57.9,0,2.64
0,-0.31,0.29,0.72,0.72,2.62,-1.19,1.43,2,57.9,0,2.62
0,-0.38,0.35,0.87,0.87,-0.35,-0.16,2.45,4,57.9,0,2.61
0,-0.47,0.41,1.04,1.04,-3.2,1.19,3.82,7,57.9,0,2.62
0,-0.61,0.54,1.36,1.36,-5.08,2.21,4.86,9,57.9,0,2.65
